Category: All categories

Day,GHE: (India)
2022-01-01,0
2022-01-02,98
2022-01-03,88
2022-01-04,76
2022-01-05,68
2022-01-06,55
2022-01-07,0
2022-01-08,85
2022-01-09,53
2022-01-10,50
2022-01-11,79
2022-01-12,79
2022-01-13,75
2022-01-14,75
2022-01-15,83
2022-01-16,62
2022-01-17,64
2022-01-18,55
2022-01-19,49
2022-01-20,65
2022-01-21,85
2022-01-22,68
2022-01-23,83
2022-01-24,76
2022-01-25,76
2022-01-26,50
2022-01-27,95
2022-01-28,77
2022-01-29,61
2022-01-30,0
2022-01-31,58
2022-02-01,90
2022-02-02,81
2022-02-03,59
2022-02-04,53
2022-02-05,83
2022-02-06,55
2022-02-07,91
2022-02-08,80
2022-02-09,90
2022-02-10,64
2022-02-11,81
2022-02-12,75
2022-02-13,60
2022-02-14,51
2022-02-15,84
2022-02-16,53
2022-02-17,86
2022-02-18,55
2022-02-19,97
2022-02-20,97
2022-02-21,71
2022-02-22,72
2022-02-23,84
2022-02-24,83
2022-02-25,60
2022-02-26,59
2022-02-27,77
2022-02-28,46
2022-03-01,63
2022-03-02,68
2022-03-03,70
2022-03-04,87
2022-03-05,76
2022-03-06,40
2022-03-07,39
2022-03-08,61
2022-03-09,32
2022-03-10,66
2022-03-11,45
2022-03-12,100
2022-03-13,77
2022-03-14,95
2022-03-15,84
2022-03-16,65
2022-03-17,55
2022-03-18,64
2022-03-19,50
2022-03-20,76
2022-03-21,65
2022-03-22,73
2022-03-23,71
2022-03-24,86
2022-03-25,58
2022-03-26,89
2022-03-27,63
2022-03-28,56
2022-03-29,50
2022-03-30,47
2022-03-31,43
