Category: All categories

Day,Nike: (India)
2022-01-01,83
2022-01-02,97
2022-01-03,81
2022-01-04,76
2022-01-05,65
2022-01-06,71
2022-01-07,78
2022-01-08,86
2022-01-09,88
2022-01-10,76
2022-01-11,80
2022-01-12,78
2022-01-13,72
2022-01-14,72
2022-01-15,76
2022-01-16,92
2022-01-17,78
2022-01-18,73
2022-01-19,73
2022-01-20,69
2022-01-21,67
2022-01-22,86
2022-01-23,98
2022-01-24,85
2022-01-25,69
2022-01-26,85
2022-01-27,74
2022-01-28,77
2022-01-29,85
2022-01-30,93
2022-01-31,77
2022-02-01,81
2022-02-02,80
2022-02-03,79
2022-02-04,78
2022-02-05,85
2022-02-06,91
2022-02-07,83
2022-02-08,82
2022-02-09,74
2022-02-10,73
2022-02-11,77
2022-02-12,85
2022-02-13,98
2022-02-14,79
2022-02-15,80
2022-02-16,83
2022-02-17,82
2022-02-18,81
2022-02-19,93
2022-02-20,100
2022-02-21,83
2022-02-22,85
2022-02-23,80
2022-02-24,73
2022-02-25,78
2022-02-26,83
2022-02-27,100
2022-02-28,76
2022-03-01,87
2022-03-02,80
2022-03-03,77
2022-03-04,74
2022-03-05,85
2022-03-06,97
2022-03-07,81
2022-03-08,78
2022-03-09,76
2022-03-10,66
2022-03-11,77
2022-03-12,90
2022-03-13,97
2022-03-14,77
2022-03-15,74
2022-03-16,74
2022-03-17,77
2022-03-18,77
2022-03-19,89
2022-03-20,95
2022-03-21,76
2022-03-22,78
2022-03-23,75
2022-03-24,74
2022-03-25,73
2022-03-26,75
2022-03-27,83
2022-03-28,71
2022-03-29,74
2022-03-30,73
2022-03-31,70
