Category: All categories

Day,GHE: (United States)
2022-01-01,84
2022-01-02,97
2022-01-03,76
2022-01-04,76
2022-01-05,69
2022-01-06,66
2022-01-07,71
2022-01-08,89
2022-01-09,91
2022-01-10,89
2022-01-11,83
2022-01-12,84
2022-01-13,86
2022-01-14,66
2022-01-15,83
2022-01-16,83
2022-01-17,66
2022-01-18,81
2022-01-19,71
2022-01-20,81
2022-01-21,81
2022-01-22,81
2022-01-23,83
2022-01-24,93
2022-01-25,73
2022-01-26,69
2022-01-27,74
2022-01-28,83
2022-01-29,74
2022-01-30,100
2022-01-31,89
2022-02-01,79
2022-02-02,77
2022-02-03,92
2022-02-04,78
2022-02-05,74
2022-02-06,89
2022-02-07,93
2022-02-08,88
2022-02-09,75
2022-02-10,70
2022-02-11,84
2022-02-12,79
2022-02-13,92
2022-02-14,94
2022-02-15,75
2022-02-16,81
2022-02-17,78
2022-02-18,88
2022-02-19,76
2022-02-20,81
2022-02-21,81
2022-02-22,74
2022-02-23,81
2022-02-24,79
2022-02-25,86
2022-02-26,74
2022-02-27,78
2022-02-28,77
2022-03-01,80
2022-03-02,92
2022-03-03,76
2022-03-04,90
2022-03-05,74
2022-03-06,77
2022-03-07,83
2022-03-08,83
2022-03-09,70
2022-03-10,77
2022-03-11,73
2022-03-12,76
2022-03-13,80
2022-03-14,71
2022-03-15,77
2022-03-16,73
2022-03-17,75
2022-03-18,81
2022-03-19,82
2022-03-20,80
2022-03-21,83
2022-03-22,73
2022-03-23,78
2022-03-24,74
2022-03-25,79
2022-03-26,72
2022-03-27,72
2022-03-28,70
2022-03-29,74
2022-03-30,69
2022-03-31,71
