Category: All categories

Day,Nike: (United States)
2022-01-01,81
2022-01-02,89
2022-01-03,78
2022-01-04,79
2022-01-05,76
2022-01-06,69
2022-01-07,75
2022-01-08,91
2022-01-09,83
2022-01-10,68
2022-01-11,72
2022-01-12,75
2022-01-13,77
2022-01-14,64
2022-01-15,84
2022-01-16,84
2022-01-17,66
2022-01-18,59
2022-01-19,66
2022-01-20,68
2022-01-21,69
2022-01-22,83
2022-01-23,86
2022-01-24,79
2022-01-25,63
2022-01-26,70
2022-01-27,69
2022-01-28,72
2022-01-29,79
2022-01-30,80
2022-01-31,72
2022-02-01,73
2022-02-02,89
2022-02-03,79
2022-02-04,75
2022-02-05,84
2022-02-06,90
2022-02-07,73
2022-02-08,73
2022-02-09,80
2022-02-10,63
2022-02-11,74
2022-02-12,87
2022-02-13,81
2022-02-14,61
2022-02-15,74
2022-02-16,78
2022-02-17,78
2022-02-18,80
2022-02-19,91
2022-02-20,97
2022-02-21,88
2022-02-22,77
2022-02-23,82
2022-02-24,71
2022-02-25,78
2022-02-26,88
2022-02-27,100
2022-02-28,83
2022-03-01,81
2022-03-02,85
2022-03-03,85
2022-03-04,78
2022-03-05,95
2022-03-06,98
2022-03-07,80
2022-03-08,73
2022-03-09,79
2022-03-10,76
2022-03-11,79
2022-03-12,93
2022-03-13,98
2022-03-14,77
2022-03-15,74
2022-03-16,81
2022-03-17,76
2022-03-18,78
2022-03-19,90
2022-03-20,100
2022-03-21,81
2022-03-22,82
2022-03-23,78
2022-03-24,83
2022-03-25,72
2022-03-26,95
2022-03-27,96
2022-03-28,75
2022-03-29,75
2022-03-30,83
2022-03-31,78
